cycle,timestamp,counts,speeds,probs,selected,duration,confidence
54,14:42:37,"[110, 116, 112, 104]","[10.9, 10.0, 49.4, 44.4]","{'N': np.float64(0.9027680941606689), 'S': np.float64(0.901241413396066), 'E': np.float64(0.9112187940877319), 'W': np.float64(0.8993831543579286)}",E,45.0,0.91
55,14:42:37,"[31, 108, 34, 111]","[44.1, 28.5, 8.7, 25.1]","{'N': np.float64(0.11772118755204523), 'S': np.float64(0.924746943845978), 'E': np.float64(0.88407117714282), 'W': np.float64(0.928073066256369)}",W,45.0,0.93
56,14:42:37,"[73, 17, 84, 98]","[47.6, 21.0, 36.1, 14.1]","{'N': np.float64(0.9179645044250274), 'S': np.float64(0.5296327356012986), 'E': np.float64(0.9206966258468714), 'W': np.float64(0.9315016526833472)}",W,45.0,0.93
57,14:42:37,"[101, 29, 62, 13]","[38.7, 33.5, 44.4, 48.3]","{'N': np.float64(0.9212437164544629), 'S': np.float64(0.15808904708263036), 'E': np.float64(0.9136196748646408), 'W': np.float64(0.11055724764050572)}",N,45.0,0.92
58,14:42:37,"[20, 67, 85, 21]","[9.3, 44.6, 43.3, 6.1]","{'N': np.float64(0.8490585134316163), 'S': np.float64(0.9220711354959324), 'E': np.float64(0.9160575942352477), 'W': np.float64(0.839771448335963)}",S,45.0,0.92
59,14:42:37,"[85, 11, 68, 8]","[25.3, 22.0, 3.9, 29.8]","{'N': np.float64(0.9280120293002928), 'S': np.float64(0.4997358157589568), 'E': np.float64(0.9228776883509655), 'W': np.float64(0.1325274501087589)}",N,45.0,0.93
60,14:42:38,"[95, 105, 50, 36]","[21.2, 23.4, 42.4, 36.4]","{'N': np.float64(0.9275819874606367), 'S': np.float64(0.9253678025693157), 'E': np.float64(0.9251199269508746), 'W': np.float64(0.1158324045188688)}",N,45.0,0.93
61,14:42:38,"[95, 51, 79, 14]","[26.6, 14.5, 23.7, 27.0]","{'N': np.float64(0.9272887680775722), 'S': np.float64(0.9377491488648517), 'E': np.float64(0.9264988330439826), 'W': np.float64(0.17086738666037155)}",S,45.0,0.94
62,14:42:38,"[7, 38, 46, 88]","[32.0, 22.6, 37.1, 8.0]","{'N': np.float64(0.10828051053355119), 'S': np.float64(0.3632398251232019), 'E': np.float64(0.9356214762994792), 'W': np.float64(0.9324026695034653)}",E,45.0,0.94
63,14:42:38,"[65, 66, 91, 56]","[33.6, 45.9, 16.0, 27.6]","{'N': np.float64(0.9341389922159233), 'S': np.float64(0.9327623708102828), 'E': np.float64(0.939442194124952), 'W': np.float64(0.9287320791076116)}",E,45.0,0.94
64,14:42:38,"[23, 85, 79, 93]","[26.0, 2.1, 42.2, 3.6]","{'N': np.float64(0.3010903493451972), 'S': np.float64(0.9222439869025278), 'E': np.float64(0.9301090927363991), 'W': np.float64(0.9414331294421434)}",W,45.0,0.94
65,14:42:38,"[114, 101, 102, 28]","[30.5, 29.9, 38.7, 6.4]","{'N': np.float64(0.9203848870351419), 'S': np.float64(0.918295591673806), 'E': np.float64(0.910290726823247), 'W': np.float64(0.8669808147277401)}",N,45.0,0.92
66,14:42:38,"[91, 21, 51, 15]","[21.6, 27.1, 26.8, 5.8]","{'N': np.float64(0.9239508407516485), 'S': np.float64(0.22754869451124818), 'E': np.float64(0.9337570599251368), 'W': np.float64(0.8965869243678564)}",E,45.0,0.93
67,14:42:38,"[65, 107, 117, 30]","[20.5, 25.9, 35.9, 5.4]","{'N': np.float64(0.8977278302517103), 'S': np.float64(0.9069834417328102), 'E': np.float64(0.9146820557367948), 'W': np.float64(0.8626326946010577)}",E,45.0,0.91
68,14:42:38,"[112, 24, 110, 51]","[47.0, 31.4, 38.7, 24.5]","{'N': np.float64(0.929170636453266), 'S': np.float64(0.15351031481442015), 'E': np.float64(0.9271862228366312), 'W': np.float64(0.9257471810477136)}",N,45.0,0.93
69,14:42:39,"[46, 59, 91, 68]","[21.5, 37.2, 20.2, 17.2]","{'N': np.float64(0.9343208355255396), 'S': np.float64(0.9176388283365345), 'E': np.float64(0.9368975701433527), 'W': np.float64(0.9369508763930596)}",W,45.0,0.94
70,14:42:39,"[30, 74, 43, 23]","[11.1, 16.5, 5.6, 41.0]","{'N': np.float64(0.8447643813895689), 'S': np.float64(0.9232043858816873), 'E': np.float64(0.9413623751005057), 'W': np.float64(0.11407225084005991)}",E,45.0,0.94
71,14:42:39,"[26, 24, 89, 46]","[18.2, 11.0, 44.2, 24.5]","{'N': np.float64(0.8379062478753098), 'S': np.float64(0.883395093376954), 'E': np.float64(0.9172820518377136), 'W': np.float64(0.9006295608452373)}",E,45.0,0.92
72,14:42:39,"[70, 75, 6, 20]","[40.7, 28.7, 42.3, 11.2]","{'N': np.float64(0.9269065103423365), 'S': np.float64(0.9245475390963968), 'E': np.float64(0.09947722306962166), 'W': np.float64(0.8106234738277336)}",N,45.0,0.93
73,14:42:39,"[25, 94, 16, 96]","[16.7, 4.6, 23.2, 20.4]","{'N': np.float64(0.7683164249343448), 'S': np.float64(0.9292291587535982), 'E': np.float64(0.3641691845910178), 'W': np.float64(0.9317624542092953)}",W,45.0,0.93
74,14:42:39,"[95, 67, 44, 79]","[20.5, 38.9, 3.7, 15.7]","{'N': np.float64(0.9257124260682862), 'S': np.float64(0.9394372624581119), 'E': np.float64(0.9382726305988867), 'W': np.float64(0.9267063553884952)}",S,45.0,0.94
75,14:42:39,"[57, 48, 75, 7]","[2.9, 5.0, 15.4, 41.7]","{'N': np.float64(0.9138798801246543), 'S': np.float64(0.9479963549880549), 'E': np.float64(0.9335857639636307), 'W': np.float64(0.10884473098136992)}",S,45.0,0.95
76,14:42:39,"[79, 52, 89, 95]","[15.6, 40.7, 29.3, 26.7]","{'N': np.float64(0.9460655198638053), 'S': np.float64(0.9345186166232367), 'E': np.float64(0.932064534533813), 'W': np.float64(0.931412046627133)}",N,45.0,0.95
77,14:42:40,"[28, 12, 93, 52]","[21.7, 43.8, 36.2, 2.5]","{'N': np.float64(0.6284832513577755), 'S': np.float64(0.11378889308328245), 'E': np.float64(0.9365876861146938), 'W': np.float64(0.9303752049832739)}",E,45.0,0.94
78,14:42:40,"[103, 106, 45, 77]","[41.9, 48.3, 15.4, 44.2]","{'N': np.float64(0.9238893598270324), 'S': np.float64(0.9140505501142985), 'E': np.float64(0.9367612898310081), 'W': np.float64(0.9264033163404612)}",E,45.0,0.94
79,14:42:40,"[88, 7, 50, 114]","[24.6, 14.5, 9.3, 22.1]","{'N': np.float64(0.9137074360654804), 'S': np.float64(0.7782022718232863), 'E': np.float64(0.927468070349039), 'W': np.float64(0.9110162174859969)}",E,45.0,0.93
80,14:42:40,"[49, 61, 73, 104]","[41.5, 49.9, 2.9, 33.2]","{'N': np.float64(0.9362108283960853), 'S': np.float64(0.9104967219486342), 'E': np.float64(0.9463400291294518), 'W': np.float64(0.9213631343013776)}",E,45.0,0.95
81,14:42:40,"[119, 39, 20, 90]","[30.6, 21.3, 12.3, 44.7]","{'N': np.float64(0.9198949223516915), 'S': np.float64(0.43971257973318767), 'E': np.float64(0.8401928593656413), 'W': np.float64(0.8902112594349669)}",N,45.0,0.92
82,14:42:40,"[15, 48, 117, 119]","[21.1, 35.1, 10.8, 20.3]","{'N': np.float64(0.5924573809900042), 'S': np.float64(0.9142927761838722), 'E': np.float64(0.9094829872039767), 'W': np.float64(0.9292375332534643)}",W,45.0,0.93
83,14:42:40,"[5, 56, 42, 74]","[6.4, 33.3, 3.2, 4.9]","{'N': np.float64(0.9043652575807486), 'S': np.float64(0.911539513113052), 'E': np.float64(0.9032305827094109), 'W': np.float64(0.9420839898565161)}",W,45.0,0.94
84,14:42:40,"[75, 72, 86, 98]","[6.1, 27.3, 14.4, 43.5]","{'N': np.float64(0.9311160887009708), 'S': np.float64(0.9280326004360802), 'E': np.float64(0.940534365755859), 'W': np.float64(0.9327535972163243)}",E,45.0,0.94
1,14:42:56,"[84, 77, 39, 74]","[11.8, 15.3, 36.1, 32.0]","{'N': np.float64(0.9401615668650865), 'S': np.float64(0.9433770700528725), 'E': np.float64(0.11382359468731944), 'W': np.float64(0.9273753204752431)}",S,45.0,0.94
2,14:42:56,"[21, 62, 118, 119]","[18.3, 34.4, 30.6, 8.6]","{'N': np.float64(0.6587560122170272), 'S': np.float64(0.8925428069744966), 'E': np.float64(0.9079202080117627), 'W': np.float64(0.9160402000538278)}",W,45.0,0.92
3,14:42:56,"[7, 65, 67, 18]","[43.4, 22.5, 14.3, 12.6]","{'N': np.float64(0.07710332141177666), 'S': np.float64(0.9176955810751605), 'E': np.float64(0.9232145637869771), 'W': np.float64(0.8208252537379901)}",E,45.0,0.92
4,14:42:56,"[92, 13, 44, 25]","[28.3, 14.1, 15.6, 39.9]","{'N': np.float64(0.9223923828372648), 'S': np.float64(0.8745932903983998), 'E': np.float64(0.9340959564709838), 'W': np.float64(0.11982063056309163)}",E,45.0,0.93
5,14:42:56,"[78, 35, 41, 43]","[35.5, 49.8, 47.2, 31.8]","{'N': np.float64(0.9071052541085064), 'S': np.float64(0.0978634387669185), 'E': np.float64(0.9166174860575431), 'W': np.float64(0.8969781139737795)}",E,45.0,0.92
6,14:42:56,"[43, 75, 91, 48]","[10.9, 47.4, 42.2, 47.2]","{'N': np.float64(0.9341617993829742), 'S': np.float64(0.9300540560782364), 'E': np.float64(0.9281054982370679), 'W': np.float64(0.9320795799228598)}",N,45.0,0.93
7,14:42:56,"[99, 53, 54, 46]","[19.8, 44.8, 7.4, 47.6]","{'N': np.float64(0.9096522464443787), 'S': np.float64(0.9255440867742546), 'E': np.float64(0.928138580720245), 'W': np.float64(0.9045935517532193)}",E,45.0,0.93
8,14:42:56,"[67, 55, 103, 38]","[18.5, 6.0, 38.6, 35.7]","{'N': np.float64(0.9390113633134501), 'S': np.float64(0.9476725844212164), 'E': np.float64(0.9212038592383008), 'W': np.float64(0.7866385162346494)}",S,45.0,0.95
9,14:42:56,"[52, 73, 86, 13]","[38.5, 31.1, 45.8, 46.7]","{'N': np.float64(0.9289315528704123), 'S': np.float64(0.9345177685303658), 'E': np.float64(0.9212328975651694), 'W': np.float64(0.0963242049542385)}",S,45.0,0.93
10,14:42:56,"[54, 112, 22, 79]","[6.7, 23.8, 44.1, 40.3]","{'N': np.float64(0.924211964564509), 'S': np.float64(0.9244308318827313), 'E': np.float64(0.13461908529142352), 'W': np.float64(0.9186130709630883)}",S,45.0,0.92
11,14:42:56,"[26, 74, 48, 32]","[33.5, 36.8, 31.1, 40.7]","{'N': np.float64(0.12713823690149587), 'S': np.float64(0.9296635496758224), 'E': np.float64(0.935273565114908), 'W': np.float64(0.12293941723223774)}",E,45.0,0.94
12,14:42:56,"[33, 92, 14, 93]","[38.4, 20.4, 33.8, 5.9]","{'N': np.float64(0.1260279847002295), 'S': np.float64(0.9287976537645691), 'E': np.float64(0.12075233009269394), 'W': np.float64(0.9322816138726391)}",W,45.0,0.93
13,14:42:57,"[87, 47, 114, 18]","[35.8, 24.6, 37.4, 30.8]","{'N': np.float64(0.9305267304339431), 'S': np.float64(0.9058808134577845), 'E': np.float64(0.9250236463347549), 'W': np.float64(0.14498863223608188)}",N,45.0,0.93
14,14:42:57,"[72, 21, 22, 50]","[20.9, 12.1, 41.5, 6.5]","{'N': np.float64(0.9124277334820342), 'S': np.float64(0.8696595494280852), 'E': np.float64(0.14595551517068012), 'W': np.float64(0.9257986244088795)}",W,45.0,0.93
15,14:42:57,"[63, 96, 29, 61]","[29.6, 37.4, 30.2, 42.8]","{'N': np.float64(0.9278887951824769), 'S': np.float64(0.9271813329944363), 'E': np.float64(0.14695314484642347), 'W': np.float64(0.9209507801598265)}",N,45.0,0.93
16,14:42:57,"[66, 11, 22, 91]","[9.6, 18.5, 32.5, 33.6]","{'N': np.float64(0.9216001587743534), 'S': np.float64(0.6390754851842512), 'E': np.float64(0.14623658386050414), 'W': np.float64(0.9153180019757016)}",N,45.0,0.92
17,14:42:57,"[106, 22, 103, 82]","[11.2, 13.0, 22.8, 16.3]","{'N': np.float64(0.9346283534358586), 'S': np.float64(0.8549152725978278), 'E': np.float64(0.9168101556240903), 'W': np.float64(0.9262596364409592)}",N,45.0,0.93
18,14:42:57,"[54, 51, 113, 34]","[22.3, 26.9, 25.8, 11.4]","{'N': np.float64(0.9262689487985785), 'S': np.float64(0.92263624554635), 'E': np.float64(0.9134893592481129), 'W': np.float64(0.8302202614767)}",N,45.0,0.93
19,14:42:57,"[66, 40, 112, 20]","[24.2, 29.2, 36.4, 6.1]","{'N': np.float64(0.9274304975284193), 'S': np.float64(0.18700489623851219), 'E': np.float64(0.917200514212019), 'W': np.float64(0.8837811873803965)}",N,45.0,0.93
20,14:42:57,"[76, 73, 78, 102]","[24.1, 23.4, 35.9, 16.9]","{'N': np.float64(0.9339154581585897), 'S': np.float64(0.92261332888318), 'E': np.float64(0.9211541572531537), 'W': np.float64(0.928893845564978)}",N,45.0,0.93
21,14:42:57,"[87, 42, 68, 50]","[26.7, 25.0, 23.9, 23.7]","{'N': np.float64(0.9268600230493602), 'S': np.float64(0.9289096798333207), 'E': np.float64(0.9278567494555542), 'W': np.float64(0.9247657889364)}",S,45.0,0.93
22,14:42:57,"[113, 96, 24, 30]","[48.9, 48.0, 45.8, 31.2]","{'N': np.float64(0.9152990610269092), 'S': np.float64(0.9147243210831465), 'E': np.float64(0.1495563703776974), 'W': np.float64(0.14680579529486967)}",N,45.0,0.92
23,14:42:57,"[56, 116, 66, 87]","[3.6, 7.0, 11.0, 29.6]","{'N': np.float64(0.9405082702679789), 'S': np.float64(0.9474803438985261), 'E': np.float64(0.9437192180998918), 'W': np.float64(0.9348454966854896)}",S,45.0,0.95
24,14:42:57,"[87, 29, 111, 14]","[24.6, 22.7, 21.0, 4.3]","{'N': np.float64(0.9342481160619568), 'S': np.float64(0.3689370140562585), 'E': np.float64(0.9220380028869057), 'W': np.float64(0.8661068018951932)}",N,45.0,0.93
25,14:42:58,"[17, 65, 59, 44]","[43.6, 44.2, 5.2, 3.2]","{'N': np.float64(0.09727247181467505), 'S': np.float64(0.932869904284853), 'E': np.float64(0.94976800485453), 'W': np.float64(0.9452000369624798)}",E,45.0,0.95
26,14:42:58,"[50, 31, 34, 7]","[2.0, 42.1, 36.5, 46.9]","{'N': np.float64(0.9197120045113989), 'S': np.float64(0.16147307669202401), 'E': np.float64(0.12141910377996501), 'W': np.float64(0.12516949871081218)}",N,45.0,0.92
27,14:42:58,"[37, 54, 60, 102]","[19.0, 49.7, 5.7, 45.8]","{'N': np.float64(0.8296599713208835), 'S': np.float64(0.9237758749510299), 'E': np.float64(0.9333315116073393), 'W': np.float64(0.9058915143427544)}",E,45.0,0.93
28,14:42:58,"[115, 97, 56, 13]","[5.1, 27.0, 26.2, 19.5]","{'N': np.float64(0.9401144566917816), 'S': np.float64(0.9118276628645736), 'E': np.float64(0.9278119100061192), 'W': np.float64(0.6077794691044563)}",N,45.0,0.94
29,14:42:58,"[80, 14, 66, 66]","[20.4, 18.2, 25.0, 48.7]","{'N': np.float64(0.9006211543775818), 'S': np.float64(0.7268996177865706), 'E': np.float64(0.9085698923162481), 'W': np.float64(0.9036337532904838)}",E,45.0,0.91
30,14:42:58,"[67, 75, 17, 72]","[10.4, 26.7, 26.6, 28.5]","{'N': np.float64(0.9397358508499154), 'S': np.float64(0.919801772264947), 'E': np.float64(0.1504059354103396), 'W': np.float64(0.9299014038300624)}",N,45.0,0.94
31,14:42:58,"[98, 49, 26, 109]","[24.2, 23.5, 42.8, 37.9]","{'N': np.float64(0.922303629818797), 'S': np.float64(0.9158908963460239), 'E': np.float64(0.1451020504378409), 'W': np.float64(0.9184787453714123)}",N,45.0,0.92
32,14:42:58,"[15, 75, 98, 48]","[33.0, 17.2, 23.7, 22.2]","{'N': np.float64(0.10272034922212424), 'S': np.float64(0.9348446328769819), 'E': np.float64(0.932354782623858), 'W': np.float64(0.9301617516876294)}",S,45.0,0.93
33,14:42:58,"[15, 76, 25, 67]","[32.8, 36.2, 14.5, 12.0]","{'N': np.float64(0.1195100796136574), 'S': np.float64(0.9235165185504953), 'E': np.float64(0.8531536974895816), 'W': np.float64(0.9313807693978261)}",W,45.0,0.93
34,14:42:58,"[47, 64, 96, 45]","[45.0, 48.8, 21.7, 42.7]","{'N': np.float64(0.9300568928804915), 'S': np.float64(0.9295934867695932), 'E': np.float64(0.9319842086557454), 'W': np.float64(0.9187856782477182)}",E,45.0,0.93
35,14:42:58,"[5, 119, 53, 74]","[37.1, 47.9, 34.9, 11.2]","{'N': np.float64(0.15036163289873494), 'S': np.float64(0.9321973631267498), 'E': np.float64(0.8646106253800262), 'W': np.float64(0.9153038053340915)}",S,45.0,0.93
36,14:42:58,"[101, 24, 111, 69]","[9.3, 20.9, 28.7, 12.2]","{'N': np.float64(0.9375402689609608), 'S': np.float64(0.5238775709654176), 'E': np.float64(0.9194435733550331), 'W': np.float64(0.9124471970783867)}",N,45.0,0.94
37,14:42:59,"[69, 72, 14, 39]","[7.0, 21.7, 44.9, 39.6]","{'N': np.float64(0.9401488172515017), 'S': np.float64(0.9423013905949597), 'E': np.float64(0.13320610211562914), 'W': np.float64(0.14996122475370027)}",S,45.0,0.94
38,14:42:59,"[105, 84, 57, 43]","[48.9, 31.4, 45.3, 21.2]","{'N': np.float64(0.9177429646633996), 'S': np.float64(0.9207956616758126), 'E': np.float64(0.9011786234075099), 'W': np.float64(0.9075261389957501)}",S,45.0,0.92
39,14:42:59,"[28, 5, 46, 12]","[23.0, 40.2, 41.9, 38.7]","{'N': np.float64(0.34037220676995167), 'S': np.float64(0.10929444322197855), 'E': np.float64(0.8983395207809511), 'W': np.float64(0.12224322796672837)}",E,45.0,0.9
40,14:42:59,"[68, 69, 47, 6]","[25.3, 14.6, 29.2, 47.0]","{'N': np.float64(0.937159693954827), 'S': np.float64(0.9420735128000528), 'E': np.float64(0.932702166619454), 'W': np.float64(0.11741348212545868)}",S,45.0,0.94
41,14:42:59,"[27, 72, 31, 63]","[9.9, 22.1, 46.2, 11.1]","{'N': np.float64(0.8387817866740629), 'S': np.float64(0.9125532690493119), 'E': np.float64(0.12527689514341322), 'W': np.float64(0.9292547863891872)}",W,45.0,0.93
42,14:42:59,"[52, 93, 10, 98]","[40.3, 34.6, 5.6, 47.9]","{'N': np.float64(0.8712662526794684), 'S': np.float64(0.900555236837821), 'E': np.float64(0.8133210294412367), 'W': np.float64(0.9122283391065238)}",W,45.0,0.91
43,14:42:59,"[105, 36, 68, 91]","[22.5, 29.8, 48.6, 30.8]","{'N': np.float64(0.9334082525389713), 'S': np.float64(0.16011061419971206), 'E': np.float64(0.9200241006109706), 'W': np.float64(0.9221637106182891)}",N,45.0,0.93
44,14:42:59,"[9, 12, 56, 114]","[48.4, 8.2, 17.1, 29.8]","{'N': np.float64(0.11614146376289845), 'S': np.float64(0.8658212079831035), 'E': np.float64(0.894852010201364), 'W': np.float64(0.9109732059930705)}",W,45.0,0.91
45,14:42:59,"[48, 97, 28, 67]","[24.2, 14.1, 6.1, 28.3]","{'N': np.float64(0.9191294489980326), 'S': np.float64(0.9208854279983677), 'E': np.float64(0.8425688818515167), 'W': np.float64(0.9204091238548633)}",S,45.0,0.92
46,14:42:59,"[45, 106, 26, 107]","[24.9, 36.9, 46.4, 22.4]","{'N': np.float64(0.9331213049199912), 'S': np.float64(0.9175609918392642), 'E': np.float64(0.1034884195227502), 'W': np.float64(0.9153848722181728)}",N,45.0,0.93
47,14:42:59,"[23, 34, 26, 16]","[37.0, 2.8, 21.5, 20.6]","{'N': np.float64(0.16996039177062955), 'S': np.float64(0.9062609060778098), 'E': np.float64(0.5440384004301972), 'W': np.float64(0.6386471005642697)}",S,45.0,0.91
48,14:42:59,"[49, 93, 6, 27]","[44.2, 26.7, 17.6, 32.6]","{'N': np.float64(0.9258001525365226), 'S': np.float64(0.9266684959982862), 'E': np.float64(0.7595370362050294), 'W': np.float64(0.12459364776829131)}",S,45.0,0.93
49,14:42:59,"[98, 20, 5, 99]","[40.1, 38.8, 24.7, 48.7]","{'N': np.float64(0.9121582488592622), 'S': np.float64(0.1318657377493694), 'E': np.float64(0.2288066480308306), 'W': np.float64(0.9153246711743356)}",W,45.0,0.92
50,14:43:00,"[66, 90, 97, 26]","[10.9, 18.6, 32.9, 28.3]","{'N': np.float64(0.9452691499710955), 'S': np.float64(0.9238266242891572), 'E': np.float64(0.9276388820565094), 'W': np.float64(0.16017263982587338)}",N,45.0,0.95
51,14:43:00,"[67, 13, 36, 47]","[25.9, 5.9, 42.4, 34.3]","{'N': np.float64(0.9319528553887253), 'S': np.float64(0.9065251890566386), 'E': np.float64(0.7938392666976465), 'W': np.float64(0.9338116354456798)}",W,45.0,0.93
52,14:43:00,"[70, 15, 84, 37]","[12.0, 48.0, 2.7, 33.9]","{'N': np.float64(0.931637354932083), 'S': np.float64(0.11109584591078894), 'E': np.float64(0.9476039338877449), 'W': np.float64(0.1305983703791876)}",E,45.0,0.95
53,14:43:00,"[64, 74, 22, 50]","[30.6, 7.4, 10.8, 45.5]","{'N': np.float64(0.930734794165913), 'S': np.float64(0.9271129671851852), 'E': np.float64(0.885250004774256), 'W': np.float64(0.9253295621867454)}",N,45.0,0.93
54,14:43:00,"[72, 44, 78, 95]","[10.7, 44.9, 35.0, 28.9]","{'N': np.float64(0.936439641249723), 'S': np.float64(0.9254436059591901), 'E': np.float64(0.9348391733671061), 'W': np.float64(0.9326347668971487)}",N,45.0,0.94
55,14:43:00,"[94, 61, 77, 15]","[41.0, 10.5, 16.2, 19.2]","{'N': np.float64(0.9364344325897397), 'S': np.float64(0.942145968499927), 'E': np.float64(0.9401271245559929), 'W': np.float64(0.631624154080221)}",S,45.0,0.94
56,14:43:00,"[12, 63, 24, 98]","[17.4, 48.5, 33.2, 40.2]","{'N': np.float64(0.8760012211396524), 'S': np.float64(0.9252909283290103), 'E': np.float64(0.12214215865398138), 'W': np.float64(0.9351812738980889)}",W,45.0,0.94
57,14:43:00,"[70, 13, 16, 7]","[11.7, 2.3, 22.5, 33.3]","{'N': np.float64(0.9240494977399563), 'S': np.float64(0.9183826755889031), 'E': np.float64(0.36452545294174427), 'W': np.float64(0.13084855478359494)}",N,45.0,0.92
58,14:43:00,"[38, 93, 101, 84]","[32.9, 35.8, 42.5, 23.3]","{'N': np.float64(0.11782747674418424), 'S': np.float64(0.9246902913711028), 'E': np.float64(0.9311260909321527), 'W': np.float64(0.9267620790523364)}",E,45.0,0.93
59,14:43:00,"[55, 47, 5, 40]","[42.5, 41.6, 5.2, 37.6]","{'N': np.float64(0.8938541945672168), 'S': np.float64(0.9028050501811858), 'E': np.float64(0.8554854769897436), 'W': np.float64(0.1767349187866063)}",S,45.0,0.9
60,14:43:00,"[7, 5, 36, 34]","[28.8, 40.7, 25.5, 25.3]","{'N': np.float64(0.14093634561449295), 'S': np.float64(0.10767712866931116), 'E': np.float64(0.2029290409200298), 'W': np.float64(0.24911859314787282)}",W,30,0.25
61,14:43:00,"[82, 106, 54, 46]","[4.4, 35.8, 30.7, 6.7]","{'N': np.float64(0.9407079043860401), 'S': np.float64(0.917402393582071), 'E': np.float64(0.9355884358473926), 'W': np.float64(0.9370935715727247)}",N,45.0,0.94
62,14:43:01,"[103, 92, 74, 87]","[36.7, 3.3, 17.1, 42.3]","{'N': np.float64(0.9290642762374406), 'S': np.float64(0.9391659801374057), 'E': np.float64(0.9295234613368263), 'W': np.float64(0.9256334212825607)}",S,45.0,0.94
63,14:43:01,"[100, 91, 11, 33]","[37.8, 41.9, 8.4, 35.1]","{'N': np.float64(0.9133672110867286), 'S': np.float64(0.9313302700703182), 'E': np.float64(0.8257514773648696), 'W': np.float64(0.17142769432547297)}",S,45.0,0.93
64,14:43:01,"[27, 68, 17, 75]","[20.6, 17.0, 44.0, 26.6]","{'N': np.float64(0.5522748967320436), 'S': np.float64(0.9316645138020224), 'E': np.float64(0.11658373753453169), 'W': np.float64(0.9249154760856656)}",S,45.0,0.93
65,14:43:01,"[71, 71, 89, 14]","[45.3, 7.0, 28.7, 45.5]","{'N': np.float64(0.9365497463206028), 'S': np.float64(0.9384094661672532), 'E': np.float64(0.9296220455052318), 'W': np.float64(0.10002518178141892)}",S,45.0,0.94
66,14:43:01,"[109, 30, 15, 17]","[14.0, 48.6, 18.1, 34.6]","{'N': np.float64(0.9389929427334852), 'S': np.float64(0.11088752599022134), 'E': np.float64(0.5954948837643398), 'W': np.float64(0.13398666224250638)}",N,45.0,0.94
67,14:43:01,"[109, 106, 52, 28]","[25.5, 33.1, 43.7, 3.8]","{'N': np.float64(0.9239789963246081), 'S': np.float64(0.9020368582234308), 'E': np.float64(0.9206445978260536), 'W': np.float64(0.8743897681858925)}",N,45.0,0.92
68,14:43:01,"[101, 80, 79, 36]","[40.3, 2.2, 16.0, 26.5]","{'N': np.float64(0.9277828267175509), 'S': np.float64(0.9370327797787216), 'E': np.float64(0.9366290575523227), 'W': np.float64(0.23700137417578565)}",S,45.0,0.94
69,14:43:01,"[111, 76, 74, 43]","[24.5, 17.2, 45.9, 16.6]","{'N': np.float64(0.9292343277609287), 'S': np.float64(0.9345448236485668), 'E': np.float64(0.9056775702254174), 'W': np.float64(0.9357535944838602)}",W,45.0,0.94
70,14:43:01,"[53, 53, 16, 93]","[42.7, 46.8, 4.4, 8.2]","{'N': np.float64(0.9187462130973575), 'S': np.float64(0.9071709041763512), 'E': np.float64(0.899708863813277), 'W': np.float64(0.9415387295228717)}",W,45.0,0.94
71,14:43:01,"[69, 12, 100, 69]","[18.5, 48.5, 48.0, 32.1]","{'N': np.float64(0.9301588322828396), 'S': np.float64(0.1229257864700435), 'E': np.float64(0.9211830956669066), 'W': np.float64(0.9250643922028424)}",N,45.0,0.93
72,14:43:01,"[22, 109, 20, 44]","[27.8, 6.4, 48.4, 2.3]","{'N': np.float64(0.20580623048846688), 'S': np.float64(0.9380811756266416), 'E': np.float64(0.1305062228203861), 'W': np.float64(0.9393396263214826)}",W,45.0,0.94
73,14:43:01,"[65, 34, 51, 25]","[23.6, 47.0, 49.7, 30.0]","{'N': np.float64(0.921246537669543), 'S': np.float64(0.12565743080764666), 'E': np.float64(0.9207330936399084), 'W': np.float64(0.14025102296439756)}",N,45.0,0.92
74,14:43:01,"[56, 27, 19, 57]","[45.6, 13.1, 44.8, 43.8]","{'N': np.float64(0.9327174320041558), 'S': np.float64(0.8747043882432118), 'E': np.float64(0.10103653919144262), 'W': np.float64(0.919474732825085)}",N,45.0,0.93
75,14:43:02,"[119, 58, 30, 65]","[49.3, 46.5, 23.5, 14.3]","{'N': np.float64(0.9164186052955451), 'S': np.float64(0.8644821633039182), 'E': np.float64(0.33427669258578757), 'W': np.float64(0.9157302459126145)}",N,45.0,0.92
76,14:43:02,"[45, 102, 58, 84]","[19.0, 7.9, 9.1, 15.5]","{'N': np.float64(0.9080108867016273), 'S': np.float64(0.9397707629278549), 'E': np.float64(0.9340386970118891), 'W': np.float64(0.9357058669977429)}",S,45.0,0.94
77,14:43:02,"[60, 10, 61, 26]","[11.9, 24.3, 29.0, 14.6]","{'N': np.float64(0.9365203660546312), 'S': np.float64(0.24109501832086033), 'E': np.float64(0.9277860130626943), 'W': np.float64(0.8607992737691686)}",N,45.0,0.94
78,14:43:02,"[61, 29, 66, 15]","[27.9, 5.9, 7.1, 45.8]","{'N': np.float64(0.9235292371421482), 'S': np.float64(0.8636290431924448), 'E': np.float64(0.938661361340559), 'W': np.float64(0.11813413335024059)}",E,45.0,0.94
79,14:43:02,"[109, 110, 102, 81]","[37.8, 48.7, 4.3, 40.5]","{'N': np.float64(0.9276500686118396), 'S': np.float64(0.9194349597341989), 'E': np.float64(0.930294745541684), 'W': np.float64(0.9315539223455697)}",W,45.0,0.93
